canonical_pair_id,target_key,source_image_key,target_image_key,split_key,manifest_hash,runner_contract_hash,metric_contract_hash,base_variant_id,geometry_variant_id,base_checkpoint_or_artifact,geometry_checkpoint_or_artifact,base_pred_heading_deg,base_pred_distance,base_heading_abs_error,base_distance_abs_error,geometry_pred_heading_deg,geometry_pred_distance,geometry_heading_abs_error,geometry_distance_abs_error,delta_heading_abs_error,delta_distance_abs_error,delta_direction_heading,delta_direction_distance,row_status,blocked_reason,claim_level
0839/15_15,0839,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,0.503312,0.5894810000000064,0.503312,-0.6689972877502441,-3.6437742710113525,0.6689910888671875,3.6437742710113525,-0.079510089,-3.1404623,geometry_worse,geometry_worse,ok,,validation_only
0839/18_31,0839,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,-31.692011,10.224472000000048,0.8079889999999992,-100.90496826171875,-3.804208517074585,0.90496826171875,28.695791244506836,9.3195037,-27.887802,geometry_better,geometry_worse,ok,,validation_only
0839/44_08,0839,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,90.782753,6.345247000000029,0.7827529999999996,0.08912858366966248,91.98859405517578,0.0891265869140625,1.9885940551757812,6.2561204,-1.2058411,geometry_better,geometry_worse,ok,,validation_only
0839/49_01,0839,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,120.592407,13.821380999999974,1.0924069999999944,121.9212417602539,105.00009155273438,2.078765869140625,14.499908447265625,11.742615,-13.407501,geometry_better,geometry_worse,ok,,validation_only
0839/50_02,0839,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,119.620026,18.63467399999996,0.37997400000000425,121.24237823486328,112.49199676513672,1.24237060546875,7.508003234863281,17.392303,-7.1280292,geometry_better,geometry_worse,ok,,validation_only
0839/50_26,0839,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,60.344318,0.5007399999999507,0.34431800000000123,-119.00867462158203,61.639156341552734,0.9913330078125,1.6391563415527344,-0.49059301,-1.2948383,geometry_worse,geometry_worse,ok,,validation_only
0842/21_02,0842,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,48.163715,0.5187720000000127,0.6637150000000034,-19.24661636352539,35.415035247802734,0.753387451171875,12.084964752197266,-0.23461545,-11.42125,geometry_worse,geometry_worse,ok,,validation_only
0842/37_25,0842,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,29.050344,5.779929999999979,0.9496560000000009,123.4402084350586,25.189607620239258,3.440216064453125,4.810392379760742,2.3397139,-3.8607364,geometry_better,geometry_worse,ok,,validation_only
0843/04_50,0843,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,-112.244858,10.714401000000066,2.7551420000000064,-156.867919921875,-95.9621353149414,3.132080078125,19.037864685058594,7.5823209,-16.282723,geometry_better,geometry_worse,ok,,validation_only
0843/33_01,0843,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,80.154495,3.8408889999999474,0.6544949999999972,81.5737533569336,78.2096939086914,2.426239013671875,1.2903060913085938,1.41465,-0.63581109,geometry_better,geometry_worse,ok,,validation_only
0843/46_36,0843,,,val,be437332952c4c5f,50c85aa38af2eb38,e8318d68edc64c74,base,split_old_concat_angle_rich_three_range,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_official_vs_split_fusion_4096_v1/reloc3r_anchor_val_predictions.csv,/media/jgzn/SSD_lexar/RZ/UAVM/runs/rich_native_diagnostic_probe/reloc3r_split_fusion_integration_4096_v1/split_fusion_train_val_predictions.csv,,25.005007,3.6951139999999896,0.0050069999999990955,157.13966369628906,26.590110778808594,2.8603363037109375,1.5901107788085938,0.8347777,-1.5851038,geometry_better,geometry_worse,ok,,validation_only
