range_abs_bucket,heading_bin,count,mean_heading_gain,mean_range_gain
0..25,-180..-135,23,0.576812,-6.266123
0..25,-135..-90,11,-0.378256,-10.120114
0..25,-90..-45,13,2.780995,-3.937818
0..25,-45..0,13,2.161912,-2.458679
0..25,0..45,13,-0.452785,-6.924942
0..25,45..90,15,6.419105,-4.415650
0..25,90..135,12,5.799934,-7.589130
0..25,135..180,19,0.404610,-8.567296
25..50,-180..-135,11,2.507209,-6.355581
25..50,-135..-90,5,3.322482,-18.947002
25..50,-90..-45,7,9.035485,-7.082502
25..50,-45..0,19,4.710542,-5.284619
25..50,0..45,48,2.787095,-4.815785
25..50,45..90,29,1.387301,-5.974300
25..50,90..135,16,3.171457,-5.412081
25..50,135..180,27,6.459466,-7.167853
50..75,-180..-135,23,4.266676,-8.814415
50..75,-135..-90,44,0.019540,-6.989291
50..75,-90..-45,21,1.574068,-6.196823
50..75,-45..0,9,3.441278,-6.517071
50..75,0..45,0,0.000000,0.000000
50..75,45..90,6,21.943097,-6.006608
50..75,90..135,6,21.170402,-6.599062
50..75,135..180,34,7.632798,-7.541284
75..100,-180..-135,0,0.000000,0.000000
75..100,-135..-90,6,21.278857,-6.444911
75..100,-90..-45,35,11.326655,-4.787558
75..100,-45..0,36,7.190203,-6.249086
75..100,0..45,25,8.020726,-6.036156
75..100,45..90,64,3.317032,-6.452250
75..100,90..135,22,2.542665,-8.985134
75..100,135..180,0,0.000000,0.000000
100..125,-180..-135,23,9.714167,-5.677545
100..125,-135..-90,27,10.170346,-6.974258
100..125,-90..-45,26,10.703428,-5.143655
100..125,-45..0,0,0.000000,0.000000
100..125,0..45,0,0.000000,0.000000
100..125,45..90,5,27.890033,-5.206273
100..125,90..135,44,11.725490,-1.154714
100..125,135..180,38,12.506877,-7.120125
125..150,-180..-135,0,0.000000,0.000000
125..150,-135..-90,0,0.000000,0.000000
125..150,-90..-45,1,53.557205,-23.950668
125..150,-45..0,0,0.000000,0.000000
125..150,0..45,20,30.940014,-2.169235
125..150,45..90,15,12.746806,-1.144118
125..150,90..135,0,0.000000,0.000000
125..150,135..180,0,0.000000,0.000000
150+,-180..-135,0,0.000000,0.000000
150+,-135..-90,0,0.000000,0.000000
150+,-90..-45,0,0.000000,0.000000
150+,-45..0,0,0.000000,0.000000
150+,0..45,0,0.000000,0.000000
150+,45..90,0,0.000000,0.000000
150+,90..135,0,0.000000,0.000000
150+,135..180,0,0.000000,0.000000
